Date,Product,Region,Category,Sales,Revenue,Profit,Quantity,Loss
2024-01-05,Widget A,North,Electronics,150,4500.00,1350.00,50,225.00
2024-01-12,Widget B,South,Electronics,200,8000.00,2400.00,80,400.00
2024-01-18,Gadget X,East,Accessories,90,2700.00,810.00,30,135.00
2024-01-25,Widget A,West,Electronics,175,5250.00,1575.00,58,262.50
2024-02-02,Gadget Y,North,Accessories,120,4800.00,1440.00,48,240.00
2024-02-10,Widget B,South,Electronics,220,8800.00,2640.00,88,440.00
2024-02-17,Widget A,East,Electronics,160,4800.00,1440.00,53,240.00
2024-02-24,Gadget X,West,Accessories,85,2550.00,765.00,28,127.50
2024-03-03,Widget A,North,Electronics,190,5700.00,1710.00,63,285.00
2024-03-10,Widget B,South,Electronics,250,10000.00,3000.00,100,500.00
2024-03-18,Gadget Y,East,Accessories,130,5200.00,1560.00,52,260.00
2024-03-25,Gadget X,West,Accessories,95,2850.00,855.00,32,142.50
2024-04-01,Widget A,North,Electronics,210,6300.00,1890.00,70,315.00
2024-04-09,Widget B,South,Electronics,270,10800.00,3240.00,108,540.00
2024-04-16,Gadget Y,East,Accessories,140,5600.00,1680.00,56,280.00
2024-04-22,Widget A,West,Electronics,195,5850.00,1755.00,65,292.50
2024-05-01,Widget B,North,Electronics,230,9200.00,2760.00,92,460.00
2024-05-08,Gadget X,South,Accessories,110,3300.00,990.00,37,165.00
2024-05-15,Widget A,East,Electronics,180,5400.00,1620.00,60,270.00
2024-05-23,Gadget Y,West,Accessories,145,5800.00,1740.00,58,290.00
2024-06-02,Widget A,North,Electronics,200,6000.00,1800.00,67,300.00
2024-06-10,Widget B,South,Electronics,280,11200.00,3360.00,112,560.00
2024-06-18,Gadget X,East,Accessories,100,3000.00,900.00,33,150.00
2024-06-25,Gadget Y,West,Accessories,155,6200.00,1860.00,62,310.00
2024-07-03,Widget A,North,Electronics,220,6600.00,1980.00,73,330.00
2024-07-11,Widget B,South,Electronics,300,12000.00,3600.00,120,600.00
2024-07-19,Gadget Y,East,Accessories,160,6400.00,1920.00,64,320.00
2024-07-26,Widget A,West,Electronics,205,6150.00,1845.00,68,307.50
2024-08-04,Widget B,North,Electronics,260,10400.00,3120.00,104,520.00
2024-08-12,Gadget X,South,Accessories,115,3450.00,1035.00,38,172.50
2024-08-20,Widget A,East,Electronics,185,5550.00,1665.00,62,277.50
2024-08-27,Gadget Y,West,Accessories,170,6800.00,2040.00,68,340.00
2024-09-05,Widget A,North,Electronics,240,7200.00,2160.00,80,360.00
2024-09-13,Widget B,South,Electronics,310,12400.00,3720.00,124,620.00
2024-09-20,Gadget X,East,Accessories,105,3150.00,945.00,35,157.50
2024-09-28,Gadget Y,West,Accessories,175,7000.00,2100.00,70,350.00
2024-10-06,Widget A,North,Electronics,255,7650.00,2295.00,85,382.50
2024-10-14,Widget B,South,Electronics,320,12800.00,3840.00,128,640.00
2024-10-22,Gadget Y,East,Accessories,180,7200.00,2160.00,72,360.00
2024-10-29,Widget A,West,Electronics,215,6450.00,1935.00,72,322.50
2024-11-05,Widget B,North,Electronics,290,11600.00,3480.00,116,580.00
2024-11-13,Gadget X,South,Accessories,125,3750.00,1125.00,42,187.50
2024-11-20,Widget A,East,Electronics,200,6000.00,1800.00,67,300.00
2024-11-27,Gadget Y,West,Accessories,185,7400.00,2220.00,74,370.00
2024-12-04,Widget A,North,Electronics,270,8100.00,2430.00,90,405.00
2024-12-12,Widget B,South,Electronics,340,13600.00,4080.00,136,680.00
2024-12-19,Gadget X,East,Accessories,130,3900.00,1170.00,43,195.00
2024-12-26,Gadget Y,West,Accessories,195,7800.00,2340.00,78,390.00
